id,title,price,currency,location,date,url,image
57456979,Аренда 2/3/7 Коракамиш 2/1,6065400,UZS,"Ташкент, Алмазарский район",Сегодня в 09:38,https://www.olx.uz/d/obyavlenie/arenda-2-3-7-korakamish-2-1-ID3T5bt.html,/app/static/media/no_thumbnail.15f456ec5.svg
63404960,"Аренда 2 хонали уй Корасув , новостройка",5458860,UZS,"Ташкент, Мирзо-Улугбекский район",Сегодня в 09:38,https://www.olx.uz/d/obyavlenie/arenda-2-honali-uy-korasuv-novostroyka-ID4i2vE.html,/app/static/media/no_thumbnail.15f456ec5.svg
61129089,Аренда 2/1/4 Коракамиш 2/5,4245780,UZS,"Ташкент, Алмазарский район",Сегодня в 09:38,https://www.olx.uz/d/obyavlenie/arenda-2-1-4-korakamish-2-5-ID48ut3.html,/app/static/media/no_thumbnail.15f456ec5.svg
59493453,Новостройка дуплекс Белтепа бетонка,1370780400,UZS,Коксарай,Сегодня в 09:38,https://www.olx.uz/d/obyavlenie/novostroyka-dupleks-beltepa-betonka-ID41CXP.html,/app/static/media/no_thumbnail.15f456ec5.svg
60611195,Суточно премиум квартира в центре U-Tower Shahar markazida lux xonadon,850000,UZS,"Ташкент, Шайхантахурский район",06 марта 2026 г.,https://www.olx.uz/d/obyavlenie/sutochno-premium-kvartira-v-tsentre-u-tower-shahar-markazida-lux-xonadon-ID46jJW.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/2f0h3ne3w8b-UZ/image;s=216x152;q=50
51220125,Производственный комплекс в Жамбайском районе. 71 соток.,1939714920,UZS,Самарканд,07 марта 2026 г.,https://www.olx.uz/d/obyavlenie/proizvodstvennyy-kompleks-v-zhambayskom-rayone-71-sotok-ID3sUH3.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/cphps8ew4z2v1-UZ/image;s=216x152;q=50
63660407,Аренда 170м2 1й этаж Айбек Шох мед,42457800,UZS,"Ташкент, Мирабадский район",Сегодня в 07:03,https://www.olx.uz/d/obyavlenie/arenda-170m2-1y-etazh-aybek-shoh-med-ID4j6YL.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/5gh0gs4kkjtu2-UZ/image;s=216x152;q=50
63490954,Срочно продаётся 2х ком квартира Мотрид Корасув Бош тулов 12.000y.e,145569600,UZS,Самарканд,Сегодня в 09:37,https://www.olx.uz/d/obyavlenie/srochno-prodaetsya-2h-kom-kvartira-motrid-korasuv-bosh-tulov-12-000y-e-ID4ioTE.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/ewrrwh8e9g593-UZ/image;s=216x152;q=50
63787052,Аренда офисов в бизнес центре INFINITY,20622360,UZS,"Ташкент, Яккасарайский район",Сегодня в 09:37,https://www.olx.uz/d/obyavlenie/arenda-ofisov-v-biznes-tsentre-infinity-ID4jDWq.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/7xld5853tsqt3-UZ/image;s=216x152;q=50
63787050,Uy sotiladi uctepa izzada,1031118000,UZS,Эшангузар,Сегодня в 09:37,https://www.olx.uz/d/obyavlenie/uy-sotiladi-uctepa-izzada-ID4jDWo.html,/app/static/media/no_thumbnail.15f456ec5.svg
