year,disease_category,metric_type,value,level,is_aggregate
1999,Nervous system diseases,absolute_cases,87209,1,False
1999,Perinatal period conditions,absolute_cases,8005,1,False
1999,"Pregnancy, childbirth and puerperium",absolute_cases,14671,1,False
1999,Respiratory system diseases,absolute_cases,569309,1,False
1999,Skin and subcutaneous tissue diseases,absolute_cases,49858,1,False
1999,All diseases,rate_per_10000,1729.600519368652,0,True
1999,Blood and blood-forming organ diseases and immune disorders,rate_per_10000,29.01883410122734,1,False
1999,Circulatory system diseases,rate_per_10000,124.20762295462066,1,False
1999,Clinical and laboratory abnormalities,rate_per_10000,22.37172845709523,1,False
1999,Congenital anomalies,rate_per_10000,2.8382327998836248,1,False
1999,Digestive system diseases,rate_per_10000,106.73737262731551,1,False
1999,Ear and mastoid process diseases,rate_per_10000,...,1,False
1999,"Endocrine system diseases, nutritional and metabolic disorders",rate_per_10000,35.078982022196406,1,False
1999,Eye and adnexa diseases,rate_per_10000,...,1,False
1999,Genitourinary system diseases,rate_per_10000,62.889597953016704,1,False
1999,Infectious and parasitic diseases,rate_per_10000,202.89553105381142,1,False
1999,"Injuries, poisoning and external causes",rate_per_10000,170.3536801423436,1,False
1999,Mental and behavioral disorders,rate_per_10000,18.59207645187868,1,False
1999,Musculoskeletal system and connective tissue diseases,rate_per_10000,18.21474648698815,1,False
1999,Neoplasms,rate_per_10000,10.162499626799066,1,False
1999,Nervous system diseases,rate_per_10000,110.79652831022877,1,False
1999,Perinatal period conditions,rate_per_10000,681.0505449255141,1,False
1999,"Pregnancy, childbirth and puerperium",rate_per_10000,35.89546348478865,1,False
1999,Respiratory system diseases,rate_per_10000,723.2907238446493,1,False
1999,Skin and subcutaneous tissue diseases,rate_per_10000,63.34315619364269,1,False
2000,All diseases,absolute_cases,1354540,0,True
2000,Blood and blood-forming organ diseases and immune disorders,absolute_cases,24460,1,False
2000,Circulatory system diseases,absolute_cases,97645,1,False
2000,Clinical and laboratory abnormalities,absolute_cases,10964,1,False
2000,Congenital anomalies,absolute_cases,2604,1,False
2000,Digestive system diseases,absolute_cases,80860,1,False
2000,Ear and mastoid process diseases,absolute_cases,...,1,False
2000,"Endocrine system diseases, nutritional and metabolic disorders",absolute_cases,28399,1,False
2000,Eye and adnexa diseases,absolute_cases,...,1,False
2000,Genitourinary system diseases,absolute_cases,47721,1,False
2000,Infectious and parasitic diseases,absolute_cases,151529,1,False
2000,"Injuries, poisoning and external causes",absolute_cases,126903,1,False
2000,Mental and behavioral disorders,absolute_cases,12117,1,False
2000,Musculoskeletal system and connective tissue diseases,absolute_cases,12849,1,False
2000,Neoplasms,absolute_cases,6292,1,False
2000,Nervous system diseases,absolute_cases,84915,1,False
2000,Perinatal period conditions,absolute_cases,8017,1,False
2000,"Pregnancy, childbirth and puerperium",absolute_cases,12666,1,False
2000,Respiratory system diseases,absolute_cases,608559,1,False
2000,Skin and subcutaneous tissue diseases,absolute_cases,38040,1,False
2000,All diseases,rate_per_10000,1703.0527056930196,0,True
